category,full_category,salary_in_usd
Scientist,General Data Scientist,110000
Analyst,General Data Analyst,90000
Analyst,General Data Analyst,75000
Architect,General Data Architect,197459
Architect,General Data Architect,103592
Engineer,General Data Engineer,240000
Engineer,General Data Engineer,183600
Others,Others,130000
Others,Others,80000
Engineer,General Data Engineer,250000
Engineer,General Data Engineer,150000
Analyst,General Data Analyst,160000
Analyst,General Data Analyst,120000
Engineer,Machine Learning Data Engineer,289076
Engineer,Machine Learning Data Engineer,202353
Engineer,General Data Engineer,145000
Engineer,General Data Engineer,120000
Analyst,General Data Analyst,155000
Analyst,General Data Analyst,106000
Engineer,General Data Engineer,200000
Engineer,General Data Engineer,160000
Scientist,General Data Scientist,157750
Scientist,General Data Scientist,104650
Scientist,General Data Scientist,180000
Scientist,General Data Scientist,140000
Scientist,General Data Scientist,200000
Scientist,General Data Scientist,145000
Analyst,General Data Analyst,68000
Engineer,Business Intelligence Data Engineer,60000
Scientist,General Data Scientist,48600
Scientist,General Data Scientist,38880
Engineer,General Data Engineer,85000
Engineer,General Data Engineer,65000
Engineer,General Data Engineer,125000
Engineer,General Data Engineer,90000
Analyst,General Data Analyst,105000
Analyst,General Data Analyst,90000
Analyst,General Data Analyst,179820
Analyst,General Data Analyst,143860
Analyst,General Data Analyst,135000
Analyst,General Data Analyst,105500
Engineer,General Data Engineer,155000
Engineer,General Data Engineer,125000
Engineer,Machine Learning Data Engineer,241000
Engineer,Machine Learning Data Engineer,181000
Scientist,General Data Scientist,252000
Scientist,General Data Scientist,154000
Architect,General Data Architect,180000
Architect,General Data Architect,155000
Scientist,General Data Scientist,191765
Scientist,General Data Scientist,134236
Scientist,General Data Scientist,175000
Scientist,General Data Scientist,145000
Scientist,General Data Scientist,237000
Scientist,General Data Scientist,145000
Engineer,General Data Engineer,155000
Engineer,General Data Engineer,125000
Analyst,General Data Analyst,80000
Analyst,General Data Analyst,70000
Engineer,General Data Engineer,146000
Engineer,General Data Engineer,75000
Analyst,General Data Analyst,64200
Analyst,General Data Analyst,56100
Engineer,Machine Learning Data Engineer,170000
Engineer,Machine Learning Data Engineer,130000
Analyst,General Data Analyst,208450
Analyst,General Data Analyst,170550
Engineer,Machine Learning Data Engineer,125000
Engineer,Machine Learning Data Engineer,100000
Analyst,General Data Analyst,135000
Analyst,General Data Analyst,120000
Scientist,General Data Scientist,200000
Scientist,General Data Scientist,170000
Scientist,General Data Scientist,171250
Scientist,General Data Scientist,113750
Scientist,General Data Scientist,222200
Scientist,General Data Scientist,136000
Scientist,General Data Scientist,260000
Scientist,General Data Scientist,136000
Analyst,General Data Analyst,153600
Analyst,General Data Analyst,100500
Scientist,General Data Scientist,205000
Scientist,General Data Scientist,184000
Engineer,Machine Learning Data Engineer,115000
Engineer,Machine Learning Data Engineer,95000
Analyst,General Data Analyst,182500
Analyst,General Data Analyst,121500
Engineer,General Data Engineer,203100
Engineer,General Data Engineer,114500
Analyst,General Data Analyst,73496
Analyst,General Data Analyst,55122
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Engineer,General Data Engineer,92700
Engineer,General Data Engineer,61800
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,130000
Scientist,General Data Scientist,258000
Scientist,General Data Scientist,190000
Scientist,General Data Scientist,170000
Scientist,General Data Scientist,135000
Architect,General Data Architect,167500
Architect,General Data Architect,106500
Scientist,General Data Scientist,195000
Scientist,General Data Scientist,160000
Engineer,General Data Engineer,146000
Engineer,General Data Engineer,75000
Engineer,General Data Engineer,286000
Engineer,General Data Engineer,207000
Analyst,General Data Analyst,100000
Analyst,General Data Analyst,80000
Engineer,General Data Engineer,223250
Engineer,General Data Engineer,178600
Scientist,General Data Scientist,353200
Scientist,General Data Scientist,249300
Scientist,Machine Learning Data Scientist,230000
Scientist,Machine Learning Data Scientist,220000
Scientist,General Data Scientist,297300
Scientist,General Data Scientist,198200
Architect,General Data Architect,210000
Architect,General Data Architect,151800
Scientist,General Data Scientist,200000
Scientist,General Data Scientist,170000
Scientist,General Data Scientist,317070
Scientist,General Data Scientist,170730
Engineer,General Data Engineer,128000
Engineer,General Data Engineer,81500
Analyst,Business Data Analyst,21600
Developer,General Data Developer,108000
Developer,General Data Developer,60000
Engineer,Machine Learning Data Engineer,134000
Engineer,Machine Learning Data Engineer,124000
Engineer,General Data Engineer,171250
Engineer,General Data Engineer,113750
Engineer,General Data Engineer,165000
Engineer,General Data Engineer,132300
Scientist,General Data Scientist,225000
Scientist,General Data Scientist,175000
Engineer,General Data Engineer,230000
Engineer,General Data Engineer,124500
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Analyst,General Data Analyst,175000
Analyst,General Data Analyst,145000
Analyst,General Data Analyst,148700
Analyst,General Data Analyst,125600
Engineer,General Data Engineer,145000
Engineer,General Data Engineer,115000
Architect,General Data Architect,200000
Architect,General Data Architect,150000
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,120000
Analyst,General Data Analyst,185000
Analyst,General Data Analyst,120250
Scientist,General Data Scientist,275300
Scientist,General Data Scientist,183000
Architect,General Data Architect,170000
Architect,General Data Architect,125000
Architect,General Data Architect,167500
Architect,General Data Architect,106500
Architect,General Data Architect,250000
Architect,General Data Architect,200000
Engineer,Machine Learning Data Engineer,135000
Scientist,General Data Scientist,420328
Engineer,Machine Learning Data Engineer,216000
Engineer,Machine Learning Data Engineer,184000
Engineer,General Data Engineer,180000
Engineer,General Data Engineer,165000
Scientist,General Data Scientist,185900
Scientist,General Data Scientist,129300
Engineer,General Data Engineer,145000
Engineer,General Data Engineer,120000
Engineer,General Data Engineer,143865
Engineer,General Data Engineer,115092
Engineer,Machine Learning Data Engineer,130000
Engineer,Machine Learning Data Engineer,90000
Scientist,General Data Scientist,173000
Scientist,General Data Scientist,132000
Analyst,General Data Analyst,208049
Analyst,General Data Analyst,128500
Analyst,General Data Analyst,179820
Analyst,General Data Analyst,143860
Engineer,General Data Engineer,167500
Engineer,General Data Engineer,106500
Scientist,General Data Scientist,275300
Scientist,General Data Scientist,183500
Engineer,General Data Engineer,149600
Engineer,General Data Engineer,102000
Scientist,General Data Scientist,145000
Scientist,General Data Scientist,100000
Analyst,General Data Analyst,190000
Analyst,General Data Analyst,95000
Analyst,General Data Analyst,153600
Analyst,General Data Analyst,106800
Scientist,General Data Scientist,97201
Scientist,General Data Scientist,81001
Analyst,General Data Analyst,128000
Analyst,General Data Analyst,85000
Engineer,General Data Engineer,151000
Engineer,General Data Engineer,140000
Scientist,General Data Scientist,275300
Scientist,General Data Scientist,183500
Scientist,Machine Learning Data Scientist,220000
Scientist,Machine Learning Data Scientist,170000
Analyst,General Data Analyst,135000
Analyst,General Data Analyst,105500
Analyst,General Data Analyst,100000
Analyst,General Data Analyst,80000
Scientist,Machine Learning Data Scientist,43200
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,145000
Analyst,General Data Analyst,154000
Analyst,General Data Analyst,143000
Scientist,General Data Scientist,79620
Scientist,General Data Scientist,51447
Scientist,General Data Scientist,190000
Scientist,General Data Scientist,120000
Scientist,General Data Scientist,85745
Scientist,General Data Scientist,51447
Scientist,General Data Scientist,110244
Scientist,General Data Scientist,73496
Engineer,General Data Engineer,150000
Engineer,General Data Engineer,111000
Engineer,General Data Engineer,265000
Engineer,General Data Engineer,235000
Scientist,General Data Scientist,122240
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,130000
Engineer,General Data Engineer,75000
Engineer,General Data Engineer,60400
Analyst,General Data Analyst,85000
Analyst,General Data Analyst,75000
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Engineer,General Data Engineer,92700
Engineer,General Data Engineer,61800
Scientist,General Data Scientist,60481
Analyst,General Data Analyst,83500
Analyst,General Data Analyst,52500
Scientist,General Data Scientist,201036
Scientist,General Data Scientist,134024
Analyst,General Data Analyst,165000
Analyst,General Data Analyst,140000
Engineer,General Data Engineer,62000
Engineer,General Data Engineer,58000
Scientist,General Data Scientist,172000
Scientist,General Data Scientist,115000
Engineer,General Data Engineer,125000
Engineer,General Data Engineer,90000
Engineer,General Data Engineer,163800
Engineer,General Data Engineer,126000
Scientist,General Data Scientist,237000
Scientist,General Data Scientist,145000
Engineer,General Data Engineer,90000
Engineer,General Data Engineer,90000
Engineer,General Data Engineer,139500
Engineer,General Data Engineer,109400
Scientist,General Data Scientist,258000
Scientist,General Data Scientist,190000
Engineer,General Data Engineer,145000
Engineer,General Data Engineer,120000
Engineer,General Data Engineer,205600
Engineer,General Data Engineer,105700
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Scientist,General Data Scientist,239748
Scientist,General Data Scientist,159832
Scientist,General Data Scientist,186300
Scientist,General Data Scientist,102500
Engineer,General Data Engineer,165000
Engineer,General Data Engineer,132300
Scientist,General Data Scientist,190000
Scientist,General Data Scientist,126000
Architect,General Data Architect,149040
Architect,General Data Architect,113900
Engineer,General Data Engineer,153600
Engineer,General Data Engineer,106800
Engineer,General Data Engineer,172600
Engineer,General Data Engineer,107900
Analyst,General Data Analyst,180180
Analyst,General Data Analyst,106020
Architect,General Data Architect,376080
Architect,General Data Architect,213120
Analyst,General Data Analyst,153600
Analyst,General Data Analyst,100500
Analyst,General Data Analyst,206500
Analyst,General Data Analyst,121600
Engineer,General Data Engineer,260000
Engineer,General Data Engineer,225000
Engineer,General Data Engineer,194500
Engineer,General Data Engineer,115500
Engineer,Cloud Data Engineer,170000
Scientist,Machine Learning Data Scientist,90000
Analyst,General Data Analyst,95000
Analyst,General Data Analyst,70000
Engineer,General Data Engineer,275000
Engineer,General Data Engineer,160000
Analyst,General Data Analyst,115934
Analyst,General Data Analyst,81666
Scientist,General Data Scientist,175000
Scientist,General Data Scientist,120000
Engineer,Machine Learning Data Engineer,150000
Engineer,Machine Learning Data Engineer,120000
Engineer,General Data Engineer,200000
Engineer,General Data Engineer,175000
Analyst,General Data Analyst,206000
Analyst,General Data Analyst,130000
Architect,General Data Architect,138000
Architect,General Data Architect,92000
Analyst,General Data Analyst,65000
Analyst,General Data Analyst,48000
Analyst,General Data Analyst,110000
Analyst,General Data Analyst,75000
Analyst,General Data Analyst,130000
Analyst,General Data Analyst,87000
Analyst,General Data Analyst,160000
Analyst,General Data Analyst,112000
Engineer,General Data Engineer,162500
Engineer,General Data Engineer,130000
Analyst,General Data Analyst,299500
Analyst,General Data Analyst,245100
Scientist,General Data Scientist,145000
Scientist,General Data Scientist,100000
Engineer,General Data Engineer,147100
Engineer,General Data Engineer,90700
Engineer,General Data Engineer,115100
Engineer,General Data Engineer,73900
Engineer,General Data Engineer,168400
Engineer,General Data Engineer,105200
Scientist,General Data Scientist,210000
Scientist,General Data Scientist,160000
Scientist,General Data Scientist,145000
Scientist,General Data Scientist,100000
Scientist,General Data Scientist,222200
Scientist,General Data Scientist,136000
Analyst,General Data Analyst,100000
Analyst,General Data Analyst,85000
Engineer,General Data Engineer,85745
Engineer,General Data Engineer,58184
Scientist,General Data Scientist,200000
Scientist,General Data Scientist,145000
Engineer,General Data Engineer,140000
Engineer,General Data Engineer,95000
Analyst,General Data Analyst,185000
Analyst,General Data Analyst,120250
Analyst,Business Data Analyst,130000
Scientist,General Data Scientist,205000
Scientist,General Data Scientist,140000
Scientist,General Data Scientist,297300
Scientist,General Data Scientist,198200
Architect,General Data Architect,141288
Architect,General Data Architect,94192
Engineer,General Data Engineer,184000
Engineer,General Data Engineer,143000
Analyst,General Data Analyst,70000
Analyst,General Data Analyst,55000
Analyst,General Data Analyst,275300
Analyst,General Data Analyst,183500
Analyst,General Data Analyst,75000
Analyst,General Data Analyst,65000
Engineer,Machine Learning Data Engineer,160000
Engineer,Machine Learning Data Engineer,147000
Architect,General Data Architect,149040
Architect,General Data Architect,113900
Engineer,General Data Engineer,75048
Analyst,General Data Analyst,180180
Analyst,General Data Analyst,106020
Scientist,General Data Scientist,17039
Others,Others,70000
Developer,General Data Developer,80000
Analyst,General Data Analyst,18256
Engineer,Machine Learning Data Engineer,250000
Engineer,Machine Learning Data Engineer,150000
Engineer,General Data Engineer,139500
Engineer,General Data Engineer,109400
Scientist,General Data Scientist,105000
Scientist,General Data Scientist,70000
Engineer,General Data Engineer,210914
Engineer,General Data Engineer,116704
Architect,General Data Architect,150000
Architect,General Data Architect,100000
Engineer,General Data Engineer,146000
Engineer,General Data Engineer,75000
Analyst,General Data Analyst,75000
Analyst,General Data Analyst,60000
Analyst,General Data Analyst,185700
Analyst,General Data Analyst,165000
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,130000
Analyst,General Data Analyst,169000
Analyst,General Data Analyst,110600
Engineer,General Data Engineer,193000
Engineer,General Data Engineer,136850
Engineer,Machine Learning Data Engineer,139500
Engineer,Machine Learning Data Engineer,109400
Engineer,General Data Engineer,276000
Engineer,General Data Engineer,178500
Scientist,General Data Scientist,59401
Scientist,General Data Scientist,48600
Engineer,General Data Engineer,75601
Engineer,General Data Engineer,48600
Engineer,Machine Learning Data Engineer,197214
Engineer,Machine Learning Data Engineer,102037
Engineer,General Data Engineer,138050
Engineer,General Data Engineer,102037
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Engineer,General Data Engineer,163800
Engineer,General Data Engineer,126000
Engineer,Machine Learning Data Engineer,260000
Engineer,Machine Learning Data Engineer,110000
Analyst,General Data Analyst,170000
Analyst,General Data Analyst,130000
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Scientist,General Data Scientist,239748
Scientist,General Data Scientist,159832
Engineer,Machine Learning Data Engineer,163800
Engineer,Machine Learning Data Engineer,126000
Scientist,General Data Scientist,128750
Scientist,General Data Scientist,106250
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Analyst,General Data Analyst,299500
Analyst,General Data Analyst,245100
Analyst,General Data Analyst,155000
Analyst,General Data Analyst,140000
Engineer,General Data Engineer,167500
Engineer,General Data Engineer,106500
Architect,General Data Architect,188500
Architect,General Data Architect,117000
Analyst,General Data Analyst,250000
Analyst,General Data Analyst,138000
Analyst,General Data Analyst,130000
Analyst,General Data Analyst,100000
Architect,Deep Learning Data Architect,124202
Engineer,General Data Engineer,140000
Engineer,General Data Engineer,120000
Analyst,Business Intelligence Data Analyst,160000
Analyst,Business Intelligence Data Analyst,135000
Analyst,General Data Analyst,104500
Analyst,General Data Analyst,70000
Scientist,General Data Scientist,90000
Scientist,General Data Scientist,70000
Engineer,General Data Engineer,153600
Engineer,General Data Engineer,106800
Engineer,General Data Engineer,125000
Engineer,General Data Engineer,90000
Architect,General Data Architect,185000
Architect,General Data Architect,125000
Analyst,General Data Analyst,127000
Analyst,General Data Analyst,94000
Scientist,General Data Scientist,210550
Scientist,General Data Scientist,153300
Scientist,General Data Scientist,200000
Scientist,General Data Scientist,150000
Analyst,General Data Analyst,161500
Analyst,General Data Analyst,119500
Analyst,General Data Analyst,175000
Analyst,General Data Analyst,145000
Scientist,General Data Scientist,175000
Scientist,General Data Scientist,148750
Analyst,General Data Analyst,105000
Analyst,General Data Analyst,85000
Architect,General Data Architect,215000
Architect,General Data Architect,146300
Developer,General Data Developer,216004
Engineer,General Data Engineer,72000
Engineer,General Data Engineer,60000
Engineer,Machine Learning Data Engineer,153400
Engineer,Machine Learning Data Engineer,122700
Engineer,General Data Engineer,260000
Engineer,General Data Engineer,175000
Scientist,General Data Scientist,186300
Scientist,General Data Scientist,123900
Architect,General Data Architect,340000
Architect,General Data Architect,150000
Engineer,Machine Learning Data Engineer,153400
Engineer,Machine Learning Data Engineer,122700
Engineer,General Data Engineer,250000
Engineer,General Data Engineer,175000
Scientist,General Data Scientist,64801
Analyst,General Data Analyst,185900
Analyst,General Data Analyst,121700
Analyst,General Data Analyst,153600
Analyst,General Data Analyst,106800
Engineer,General Data Engineer,50000
Analyst,General Data Analyst,100000
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Engineer,General Data Engineer,310000
Engineer,General Data Engineer,239000
Analyst,General Data Analyst,125000
Analyst,General Data Analyst,110000
Analyst,General Data Analyst,150000
Analyst,General Data Analyst,100000
Scientist,General Data Scientist,149076
Scientist,General Data Scientist,82365
Engineer,General Data Engineer,146000
Engineer,General Data Engineer,75000
Engineer,Machine Learning Data Engineer,139500
Engineer,Machine Learning Data Engineer,109400
Engineer,General Data Engineer,139500
Engineer,General Data Engineer,109400
Engineer,General Data Engineer,149600
Engineer,General Data Engineer,102000
Analyst,General Data Analyst,97994
Analyst,General Data Analyst,48997
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Analyst,General Data Analyst,95000
Analyst,General Data Analyst,85500
Analyst,General Data Analyst,185900
Analyst,General Data Analyst,121700
Architect,General Data Architect,150000
Architect,General Data Architect,100000
Engineer,General Data Engineer,145000
Engineer,General Data Engineer,125000
Scientist,General Data Scientist,150000
Scientist,General Data Scientist,97750
Scientist,General Data Scientist,201000
Scientist,General Data Scientist,122000
Engineer,General Data Engineer,252000
Engineer,General Data Engineer,129000
Analyst,General Data Analyst,120000
Analyst,General Data Analyst,75000
Scientist,General Data Scientist,116990
Scientist,General Data Scientist,82920
Scientist,General Data Scientist,185900
Scientist,General Data Scientist,129300
Scientist,Machine Learning Data Scientist,200000
Scientist,Machine Learning Data Scientist,125000
Scientist,General Data Scientist,201000
Scientist,General Data Scientist,122000
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Analyst,General Data Analyst,155000
Analyst,General Data Analyst,140000
Engineer,Machine Learning Data Engineer,205920
Engineer,Machine Learning Data Engineer,171600
Engineer,General Data Engineer,121500
Engineer,General Data Engineer,78000
Engineer,General Data Engineer,154000
Engineer,General Data Engineer,116000
Scientist,General Data Scientist,190000
Scientist,General Data Scientist,136000
Analyst,General Data Analyst,79620
Analyst,General Data Analyst,44158
Analyst,General Data Analyst,180000
Analyst,General Data Analyst,110000
Scientist,General Data Scientist,275300
Scientist,General Data Scientist,183000
Engineer,General Data Engineer,170000
Engineer,General Data Engineer,140000
Engineer,General Data Engineer,154000
Engineer,General Data Engineer,116000
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,130000
Engineer,General Data Engineer,200000
Engineer,General Data Engineer,120000
Scientist,General Data Scientist,175000
Scientist,General Data Scientist,160000
Engineer,General Data Engineer,128618
Engineer,General Data Engineer,104119
Engineer,General Data Engineer,153600
Engineer,General Data Engineer,106800
Analyst,General Data Analyst,85000
Analyst,General Data Analyst,75000
Scientist,General Data Scientist,225000
Scientist,General Data Scientist,156400
Analyst,General Data Analyst,150000
Analyst,General Data Analyst,120000
Engineer,Machine Learning Data Engineer,163800
Engineer,Machine Learning Data Engineer,126000
Analyst,General Data Analyst,145000
Analyst,General Data Analyst,90000
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Analyst,General Data Analyst,95000
Analyst,General Data Analyst,85500
Engineer,General Data Engineer,167500
Engineer,General Data Engineer,106500
Engineer,General Data Engineer,163800
Engineer,General Data Engineer,126000
Analyst,General Data Analyst,155000
Analyst,General Data Analyst,140000
Architect,General Data Architect,250000
Architect,General Data Architect,200000
Scientist,General Data Scientist,260000
Scientist,General Data Scientist,186000
Engineer,General Data Engineer,160000
Engineer,General Data Engineer,130000
Architect,General Data Architect,200000
Architect,General Data Architect,150000
Scientist,General Data Scientist,48600
Scientist,General Data Scientist,38880
Scientist,General Data Scientist,150000
Scientist,General Data Scientist,120000
Analyst,General Data Analyst,30000
Architect,General Data Architect,185000
Architect,General Data Architect,125000
Others,Others,75601
Analyst,General Data Analyst,175000
Analyst,General Data Analyst,130000
Analyst,General Data Analyst,122000
Analyst,General Data Analyst,93800
Analyst,General Data Analyst,150000
Analyst,General Data Analyst,90000
Analyst,General Data Analyst,165000
Analyst,General Data Analyst,112000
Engineer,General Data Engineer,220000
Analyst,Business Intelligence Data Analyst,72361
Developer,General Data Developer,64801
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Analyst,General Data Analyst,15821
Engineer,Machine Learning Data Engineer,200000
Engineer,Machine Learning Data Engineer,175000
Engineer,General Data Engineer,185900
Engineer,General Data Engineer,129300
Analyst,General Data Analyst,185900
Analyst,General Data Analyst,121700
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Scientist,General Data Scientist,40000
Scientist,General Data Scientist,29419
Analyst,General Data Analyst,180180
Analyst,General Data Analyst,106020
Scientist,General Data Scientist,136000
Scientist,General Data Scientist,104000
Analyst,General Data Analyst,125000
Analyst,General Data Analyst,110000
Engineer,Machine Learning Data Engineer,153400
Engineer,Machine Learning Data Engineer,122700
Engineer,General Data Engineer,310000
Engineer,General Data Engineer,239000
Analyst,General Data Analyst,152380
Analyst,General Data Analyst,121904
Scientist,General Data Scientist,185900
Scientist,General Data Scientist,129300
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Architect,General Data Architect,168400
Architect,General Data Architect,105200
Engineer,Machine Learning Data Engineer,128280
Engineer,Machine Learning Data Engineer,106900
Engineer,General Data Engineer,140000
Engineer,General Data Engineer,100000
Engineer,General Data Engineer,108002
Engineer,General Data Engineer,86401
Engineer,Machine Learning Data Engineer,275000
Engineer,Machine Learning Data Engineer,174000
Engineer,General Data Engineer,139500
Engineer,General Data Engineer,109400
Engineer,Machine Learning Data Engineer,139500
Engineer,Machine Learning Data Engineer,109400
Analyst,General Data Analyst,170500
